ID;exampleId;title;scenario;design;whyLevel;associatedLevel;industry;ricefwType
b3e4f5a7-6c8b-4d2f-9e1a-8c7d5a3f2b1c;R-EX-001;"Fiori Elements using Released CDS";"Business needs a PO Items report with filters, totals, and drill-down.";"Use a <strong>released CDS view</strong> (e.g., <code>I_PurchaseOrderItem</code> / public API) and expose as <strong>OData</strong>.<br>Build a <strong>Fiori Elements</strong> List Report/Analytical List Page on top of the OData service.<br>Optional: Use <strong>SAP Analytics Cloud</strong> for charts on the same released API.";"Only released, documented interfaces; ABAP Cloud compliant; upgrade-safe per Clean Core guidance.<br>No direct table access or modifications.";"A";"General";"R"
c4f5e6b8-7d9c-4e3a-0f2b-9d8e6b4f3c2d;R-EX-002;"ALV Report using BAPI";"Existing landscape relies on BAPIs; no suitable released CDS yet.";"Create an <strong>ABAP ALV report</strong> that calls <code>BAPI_PO_GETDETAIL</code> (or similar) to fetch PO header/items.<br>Format results in ALV grid with filters and export.<br>Optionally wrap the BAPI in a service or CDS interface for reuse.";"Uses <strong>classic, stable APIs</strong> (BAPI/RFC). Acceptable when Level A artefacts are unavailable.<br>Still no core modifications; but not formally covered by released API contracts.";"B";"General";"R"
d5a6b7c9-8e0d-4f1b-1a2c-0e9f7c5a4d3e;R-EX-003;"Z-Report with Direct Table Access";"Quick custom needs; team reads PO items directly.";"Write a <strong>Z-program</strong> that does <code>SELECT * FROM EKPO</code> and joins with <code>EKKO</code> for header.<br>Add filters and totals in the program; export to Excel.";"Direct access to <strong>internal SAP tables</strong> (not exposed via released APIs).<br>Common in legacy systems, but <strong>upgrade risk is high</strong> (table structures can change).";"C";"General";"R"
e6b7c8d0-9f1e-4a2c-2b3d-1f0a8d6b5e4f;R-EX-004;"Modification of Standard PO Program";"Team edits SAP's standard PO display to add custom fields/calculation.";"Modify the <strong>standard SAP program</strong> or insert implicit enhancements altering logic.<br>Or write a Z-program that <strong>updates</strong> standard tables like <code>EKPO</code> directly during reporting.";"Direct <strong>modifications</strong> to SAP standard or dangerous updates to standard tables.<br>Violates Clean Core; <strong>blocks upgrades</strong> and adds severe technical debt.";"D";"General";"R"
f7c8d9e1-0a2f-4b3d-3c4e-2a1b9e7c6d5f;I-EX-001;"BTP iFlow Using Released API";"Sync Business Partner data from legacy system.";"Use <strong>SAP API Hub</strong> OData service for Business Partner.<br>Orchestrate via <strong>BTP Integration Suite</strong> iFlow.";"Uses released API; upgrade-safe; clean-core compliant.";"A";"General";"I"
a8d9e0f2-1b3a-4c4e-4d5f-3b2c0f8d7e6f;I-EX-002;"IDoc Integration";"Send Purchase Orders from external system.";"Use <strong>ORDERS05 IDoc</strong> inbound processing.<br>Standard FM posts PO; error handling via IDoc status.";"Classic interface; stable but not modern.";"B";"General";"I"
b9e0f1a3-2c4b-4d5f-5e6a-4c3d1a9e8f7a;I-EX-003;"File Interface Writing Tables";"Load stock data from CSV.";"Z-program reads CSV and updates <code>MSEG</code> directly.";"Direct table writes; bypasses validations; high risk.";"C";"General";"I"
c0f1a2b4-3d5c-4e6a-6f7b-5d4e2b0f9a8b;I-EX-004;"Modify IDoc Basic Type";"Add custom segment to ORDERS05 basic type.";"Change standard IDoc structure and inbound FM.";"Blocks upgrades; violates Clean Core.";"D";"General";"I"
d1a2b3c5-4e6d-4f7b-7a8c-6e5f3c1a0b9c;C-EX-001;"Migration Cockpit";"Load Material Master.";"Use <strong>Migration Cockpit</strong> standard object.<br>Validate via cockpit; no custom table writes.";"Upgrade-safe; SAP-supported.";"A";"General";"C"
e2b3c4d6-5f7e-4a8c-8b9d-7f6a4d2b1c0d;C-EX-002;"BAPI Posting";"Load open AR items.";"Use <code>BAPI_ACC_DOCUMENT_POST</code> in controlled batches.";"Classic API; acceptable fallback.";"B";"General";"C"
f3c4d5e7-6a8f-4b9d-9c0e-8a7b5e3c2d1e;C-EX-003;"Z-Program Writing Tables";"Load inventory balances.";"Z-program inserts into <code>MSEG</code> and <code>MKPF</code> directly.";"Internal tables; bypasses validations.";"C";"General";"C"
a4d5e6f8-7b0a-4c1e-0d1f-9b8c6f4d3e2f;C-EX-004;"Modify Posting FM";"Remove checks in standard FM for migration.";"Edit SAP FM to skip valuation checks.";"Blocks upgrades; not supported.";"D";"General";"C"
b5e6f7a9-8c1b-4d2f-1e2a-0c9d7a5e4f3a;E-EX-001;"Released BADI via Key User Tools";"Add custom logic during Purchase Order approval.";"Implement a <strong>released BADI</strong> (e.g., <code>MM_PUR_S4_PO_APPROVAL</code>) listed in Extensibility Registry.<br>Add logic using <strong>Custom Fields & Logic</strong> (Key User Tool) without touching standard code.";"Uses officially released enhancement point.<br>Upgrade-safe and SAP-supported.";"A";"General";"E"
c6f7a8b0-9d2c-4e3a-2f3b-1d0e8b6f5a4b;E-EX-002;"Classic User Exit";"Validate vendor data during invoice posting.";"Use <strong>classic user exit</strong> <code>EXIT_SAPLF048_001</code> to check vendor fields.<br>No direct table writes; logic encapsulated in exit.";"Stable but not officially released; acceptable for brownfield.";"B";"General";"E"
d7a8b9c1-0e3d-4f4b-3a4c-2e1f9c7a6b5c;E-EX-003;"Implicit Enhancement in Standard Method";"Add logic inside ME21N transaction.";"Insert <strong>implicit enhancement</strong> at end of standard method to enforce custom checks.";"Risky; depends on internal code structure; breaks easily after upgrades.";"C";"General";"E"
e8b9c0d2-1f4e-4a5c-4b5d-3f2a0d8b7c6d;E-EX-004;"Modify Standard Program";"Change PO creation logic in SAPMM06E.";"Directly edit SAP standard program to add custom fields and logic.";"Violates Clean Core; blocks upgrades; not supported by SAP.";"D";"General";"E"
f9c0d1e3-2a5f-4b6d-5c6e-4a3b1e9c8d7e;F-EX-001;"Adobe Form via Output Management";"Print PO PDF using released CDS.";"Use <strong>Output Management (BRF+)</strong> with Adobe Form.<br>Data from released CDS view <code>I_PurchaseOrderItem</code>.";"Upgrade-safe; uses released APIs.";"A";"General";"F"
a0d1e2f4-3b6a-4c7e-6d7f-5b4c2f0d9e8f;F-EX-002;"SmartForm Using BAPI";"Print PO using SmartForm.";"Fetch data via <code>BAPI_PO_GETDETAIL</code>.<br>Render SmartForm; no table writes.";"Classic API; acceptable fallback.";"B";"General";"F"
b1e2f3a5-4c7b-4d8f-7e0a-6c5d3a1e0f9a;F-EX-003;"SmartForm with Direct Table Access";"Custom PO print form.";"SELECT from <code>EKKO</code> and <code>EKPO</code> inside form logic.";"Internal tables; high upgrade risk.";"C";"General";"F"
c2f3a4b6-5d8c-4e0a-8f1b-7d6e4b2f1a0b;F-EX-004;"Modify Standard Form";"Edit SAP-delivered PO SmartForm.";"Change standard form object directly.";"Blocks upgrades; not supported.";"D";"General";"F"
d3a4b5c7-6e9d-4f1b-0a2c-8e7f5c3a2b1c;W-EX-001;"Flexible Workflow";"PO approval process.";"Configure <strong>Flexible Workflow</strong> in Fiori.<br>Use SBPA for escalations; consume released events.";"Config-driven; upgrade-safe.";"A";"General";"W"
e4b5c6d8-7f0e-4a2c-1b3d-9f8a6d4b3c2d;W-EX-002;"Classic SAP Workflow";"Invoice approval.";"Use WS template with BAdIs for custom logic.";"Classic workflow engine; acceptable for brownfield.";"B";"General";"W"
f5c6d7e9-0a1f-4b3d-2c4e-0a9b7e5c4d3e;W-EX-003;"Z-Workflow Updating Tables";"Custom workflow for credit memo.";"Z-program updates status in <code>BKPF</code> and sends email.";"Direct table updates; high risk.";"C";"General";"W"
a6d7e8f0-1b2a-4c4e-3d5f-1b0c8f6d5e4f;W-EX-004;"Modify Standard Workflow Template";"Change SAP-delivered PO workflow logic.";"Edit standard WS template and runtime classes.";"Blocks upgrades; violates Clean Core.";"D";"General";"W"
